Date,Lane,Lane Name,Direction,Direction Name,Speed (mph),Headway (s),Gap (s),Flags,Flag Text
2018-02-02 17:11:40.090,2,NE_OS,1,NorthEast,27.962,3.28,2.479,5,Friday
2018-02-02 17:11:42.060,2,NE_OS,1,NorthEast,27.34,2.291,1.244,5,Friday
2018-02-02 17:11:44.070,1,NE_NS,1,NorthEast,19.262,3.077,2.914,5,Friday
2018-02-02 17:11:46.020,1,NE_NS,1,NorthEast,20.506,3.0,2.035,5,Friday
2018-02-02 17:11:48.020,2,NE_OS,1,NorthEast,30.447,6.245,6.256,5,Friday
2018-02-02 17:11:50.010,1,NE_NS,1,NorthEast,25.476,3.644,3.442,5,Friday
2018-02-02 17:11:56.020,2,NE_OS,1,NorthEast,36.039,8.0,7.684,5,Friday
2018-02-02 17:12:01.020,2,NE_OS,1,NorthEast,33.554,5.767,4.677,5,Friday
2018-02-02 17:12:09.090,1,NE_NS,1,NorthEast,17.399,18.8,18.405,5,Friday
2018-02-02 17:12:10.010,2,NE_OS,1,NorthEast,33.554,8.9,8.593,5,Friday
2018-02-02 17:12:15.030,1,NE_NS,1,NorthEast,13.048,9.6,5.731,5,Friday
2018-02-02 17:12:16.020,2,NE_OS,1,NorthEast,30.447,7.09,5.827,5,Friday
2018-02-02 17:12:22.070,2,NE_OS,1,NorthEast,21.747,8.28,5.169,5,Friday
2018-02-02 17:12:29.090,2,NE_OS,1,NorthEast,27.962,6.08,6.737,5,Friday
2018-02-02 17:12:30.040,2,NE_OS,1,NorthEast,25.476,2.107,1.132,5,Friday
2018-02-02 17:12:31.050,1,NE_NS,1,NorthEast,11.185,16.2,15.274,5,Friday
2018-02-02 17:12:33.030,2,NE_OS,1,NorthEast,26.718000000000004,3.307,2.277,5,Friday
2018-02-02 17:12:42.090,2,NE_OS,1,NorthEast,21.747,8.6,8.173,5,Friday
2018-02-02 17:12:46.050,2,NE_OS,1,NorthEast,28.584,3.248,3.147,5,Friday
2018-02-02 17:13:00.000,2,NE_OS,1,NorthEast,22.369,14.5,14.406,5,Friday
2018-02-02 17:13:03.060,1,NE_NS,1,NorthEast,11.185,31.1,30.06,5,Friday
2018-02-02 17:13:15.000,2,NE_OS,1,NorthEast,17.399,15.0,14.53,5,Friday
2018-02-02 17:13:18.010,1,NE_NS,1,NorthEast,9.321,19.8,15.1,5,Friday
2018-02-02 17:13:23.040,2,NE_OS,1,NorthEast,9.321,17.4,7.603,5,Friday
2018-02-02 17:13:48.050,2,NE_OS,1,NorthEast,30.447,25.1,23.372,5,Friday
2018-02-02 17:13:52.060,2,NE_OS,1,NorthEast,19.884,6.356,2.556,5,Friday
2018-02-02 17:13:56.050,2,NE_OS,1,NorthEast,27.962,3.64,3.214,5,Friday
2018-02-02 17:14:03.070,2,NE_OS,1,NorthEast,24.855,9.0,6.784,5,Friday
2018-02-02 17:14:05.090,2,NE_OS,1,NorthEast,3.729,21.6,0.913,5,Friday
2018-02-02 17:14:09.090,2,NE_OS,1,NorthEast,15.533,4.0,3.28,5,Friday
2018-02-02 17:14:12.000,2,NE_OS,1,NorthEast,15.533,4.536,2.121,5,Friday
2018-02-02 17:14:12.080,1,NE_NS,1,NorthEast,9.321,53.7,52.524,5,Friday
2018-02-02 17:14:15.080,2,NE_OS,1,NorthEast,30.447,1.947,2.08,5,Friday
